"","from","to","from_id","to_id","freq","from_lat","from_long","to_lat","to_long"
"117","Dexter Ave & Denny Way","9th Ave N & Mercer St","SLU-18","DPD-01",233,47.618285,-122.342205,47.624298,-122.339617
"118","Key Arena / 1st Ave N & Harrison St","PATH / 9th Ave & Westlake Ave","SLU-19","SLU-07",231,47.622277,-122.35523,47.61832,-122.338913
"119","E Harrison St & Broadway Ave E","7th Ave & Union St","CH-02","CBD-03",229,47.622063,-122.321251,47.610731,-122.332447
"120","E Blaine St & Fairview Ave E","Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St","EL-03","EL-01",228,47.634831,-122.326634,47.627643,-122.332576
"121","2nd Ave & Vine St","Key Arena / 1st Ave N & Harrison St","BT-03","SLU-19",226,47.615829,-122.348564,47.622277,-122.35523
"122","Republican St & Westlake Ave N","E Blaine St & Fairview Ave E","SLU-04","EL-03",226,47.623165,-122.338203,47.634831,-122.326634
"123","PATH / 9th Ave & Westlake Ave","Westlake Ave & 6th Ave","SLU-07","SLU-15",225,47.61832,-122.338913,47.613628,-122.337341
"124","Cal Anderson Park / 11th Ave & Pine St","12th Ave & E Mercer St","CH-08","CH-15",221,47.615486,-122.318245,47.624142,-122.316811
"125","Summit Ave & E Denny Way","REI / Yale Ave N & John St","CH-01","SLU-01",221,47.618633,-122.325249,47.619859,-122.330304
"126","3rd Ave & Broad St","Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St","BT-01","EL-01",220,47.618418,-122.350964,47.627643,-122.332576
"127","3rd Ave & Broad St","King Street Station Plaza / 2nd Ave Extension S & S Jackson St","BT-01","PS-05",219,47.618418,-122.350964,47.598994,-122.329684
"128","Cal Anderson Park / 11th Ave & Pine St","PATH / 9th Ave & Westlake Ave","CH-08","SLU-07",219,47.615486,-122.318245,47.61832,-122.338913
"129","E Harrison St & Broadway Ave E","Summit Ave & E Denny Way","CH-02","CH-01",219,47.622063,-122.321251,47.618633,-122.325249
"130","Westlake Ave & 6th Ave","1st Ave & Marion St","SLU-15","CBD-05",216,47.613628,-122.337341,47.604058,-122.3358
"131","Westlake Ave & 6th Ave","Key Arena / 1st Ave N & Harrison St","SLU-15","SLU-19",213,47.613628,-122.337341,47.622277,-122.35523
"132","PATH / 9th Ave & Westlake Ave","Pine St & 9th Ave","SLU-07","SLU-16",210,47.61832,-122.338913,47.613715,-122.331777
"133","UW Engineering Library / E Stevens Way NE & Jefferson Rd","Burke-Gilman Trail / NE Blakeley St & 24th Ave NE","UW-06","UD-01",210,47.654613,-122.304863,47.666145,-122.301491
"134","12th Ave & E Mercer St","Republican St & Westlake Ave N","CH-15","SLU-04",208,47.624142,-122.316811,47.623165,-122.338203
"135","UW Engineering Library / E Stevens Way NE & Jefferson Rd","12th Ave & NE Campus Pkwy","UW-06","UD-04",208,47.654613,-122.304863,47.656395,-122.31562
"136","Key Arena / 1st Ave N & Harrison St","2nd Ave & Blanchard St","SLU-19","BT-05",207,47.622277,-122.35523,47.61311,-122.344208
