"","freq","from","to"
"813",26,"CH07","SLU20"
"814",12,"CH07","UD01"
"815",3,"CH07","UD02"
"816",33,"CH07","UD04"
"817",6,"CH07","UD07"
"818",2,"CH07","UW01"
"819",2,"CH07","UW02"
"820",6,"CH07","UW04"
"821",5,"CH07","UW06"
"822",27,"CH07","UW07"
"823",7,"CH07","UW10"
"824",17,"CH07","WF01"
"825",16,"CH07","WF04"
"826",78,"CH08","BT01"
"827",143,"CH08","BT03"
"828",34,"CH08","BT04"
"829",63,"CH08","BT05"
"830",173,"CH08","CBD03"
"831",14,"CH08","CBD04"
"832",70,"CH08","CBD05"
"833",284,"CH08","CBD06"
"834",51,"CH08","CBD07"
"835",252,"CH08","CBD13"
"836",55,"CH08","CD01"
"837",106,"CH08","CH01"
"838",427,"CH08","CH02"
"839",163,"CH08","CH03"
"840",137,"CH08","CH05"
"841",61,"CH08","CH06"
"842",80,"CH08","CH07"
"843",186,"CH08","CH08"
"844",64,"CH08","CH09"
"845",241,"CH08","CH12"
"846",221,"CH08","CH15"
"847",94,"CH08","DPD01"
"848",7,"CH08","DPD03"
"849",39,"CH08","EL01"
"850",73,"CH08","EL03"
"851",78,"CH08","EL05"
"852",69,"CH08","FH01"
"853",199,"CH08","FH04"
"854",174,"CH08","ID04"
"855",84,"CH08","PS04"
"856",59,"CH08","PS05"
"857",137,"CH08","SLU01"
"858",28,"CH08","SLU02"
"859",105,"CH08","SLU04"
"860",219,"CH08","SLU07"
"861",85,"CH08","SLU15"
"862",253,"CH08","SLU16"
"863",25,"CH08","SLU17"
"864",27,"CH08","SLU18"
"865",55,"CH08","SLU19"
"866",25,"CH08","SLU20"
"867",6,"CH08","UD01"
"868",5,"CH08","UD02"
"869",44,"CH08","UD04"
"870",4,"CH08","UD07"
"871",1,"CH08","UW02"
"872",8,"CH08","UW04"
"873",1,"CH08","UW06"
"874",14,"CH08","UW07"
"875",21,"CH08","WF01"
"876",37,"CH08","WF04"
"877",68,"CH09","BT01"
"878",58,"CH09","BT03"
"879",24,"CH09","BT04"
"880",46,"CH09","BT05"
"881",103,"CH09","CBD03"
"882",12,"CH09","CBD04"
"883",32,"CH09","CBD05"
"884",29,"CH09","CBD06"
"885",24,"CH09","CBD07"
"886",188,"CH09","CBD13"
"887",13,"CH09","CD01"
"888",83,"CH09","CH01"
